,-1 year,,,+1 year,,,+3 years,,,+5 years,,
Latitude,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper
23.8,-2.741314651,-4.666837317,-0.815791984,-5.309623459,-7.477074527,-3.142172391,-6.857456698,-10.72580869,-2.98910471,-8.270802028,-13.59423327,-2.94737079
23.75,-6.042376171,-9.184224657,-2.900527684,-7.932889919,-11.3492863,-4.516493533,-9.977805688,-15.12760645,-4.828004928,-11.50414361,-17.47816009,-5.530127117
23.7,-4.415352533,-7.017799463,-1.812905603,-6.691673052,-9.289839777,-4.093506326,-9.953178993,-14.28976662,-5.616591367,-9.356148453,-14.03202721,-4.680269695
23.65,-3.001359082,-4.777266507,-1.225451656,-4.681316742,-6.782114092,-2.580519392,-9.816397616,-14.22650291,-5.406292322,-10.8079094,-16.0487848,-5.567033998
23.6,-2.786886427,-4.454050869,-1.119721985,-3.567774059,-5.74249269,-1.393055429,-7.460579221,-11.4120552,-3.509103242,-6.768386326,-11.39593426,-2.140838396
23.55,-5.20248989,-7.764935896,-2.640043884,-6.120258329,-8.580633772,-3.659882887,-10.60026988,-14.69289296,-6.507646806,-8.538124473,-12.69946997,-4.376778979
23.5,-3.163803915,-5.356512311,-0.971095519,-8.399021745,-11.22450735,-5.573536141,-10.9307692,-15.16194887,-6.699589539,-11.07813422,-15.84690927,-6.309359172
23.45,-3.734141967,-6.081360802,-1.386923133,-6.607509266,-9.226971286,-3.988047246,-8.145820087,-12.08217219,-4.209467984,-10.26522891,-15.20165396,-5.328803865
23.4,-0.455124668,-3.128845808,2.218596473,-5.787781971,-8.378495016,-3.197068926,-13.40826171,-18.6823137,-8.134209719,-12.41183297,-17.4586325,-7.36503343
23.35,-2.047984778,-3.826698326,-0.26927123,-8.054630365,-11.25228214,-4.856978594,-8.961735117,-13.49380172,-4.429668515,-8.953217283,-13.96202421,-3.944410351
23.3,-3.283567064,-5.464130732,-1.103003396,-6.936666712,-9.701273093,-4.172060331,-9.516224668,-13.92019908,-5.112250254,-10.01193445,-15.05847138,-4.965397529
23.25,-2.798846181,-4.922917048,-0.674775313,-4.032236325,-6.261299299,-1.80317335,-9.950723037,-14.52091108,-5.380534997,-11.46414336,-16.59835871,-6.329928014
23.2,-7.60788136,-11.4071585,-3.808604217,-9.300459816,-12.51704242,-6.08387721,-10.63020312,-14.83361702,-6.426789223,-11.3912784,-16.60105285,-6.181503954
23.15,-3.359453472,-5.526259813,-1.19264713,-5.316319644,-7.827087185,-2.805552103,-6.827488987,-11.33816883,-2.316809142,-9.107317106,-13.7585264,-4.456107812
23.1,-3.995397664,-7.134578295,-0.856217032,-7.643799966,-10.92039096,-4.367208974,-11.11343736,-16.1307181,-6.096156618,-13.05398723,-19.10475216,-7.003222289
23.05,-2.452112413,-4.114940942,-0.789283885,-6.783165999,-9.63724988,-3.929082118,-8.414819524,-12.37479943,-4.454839617,-11.03852396,-17.03419054,-5.042857385
23,-1.625910468,-3.307998747,0.056177812,-6.499467696,-8.866602387,-4.132333005,-10.81408323,-15.55598021,-6.072186242,-10.72751312,-15.53634087,-5.91868537
22.95,-0.643868899,-2.511837914,1.224100115,-3.853979543,-5.785686723,-1.922272364,-10.35700857,-15.0991608,-5.614856342,-10.83989163,-16.1893289,-5.490454359
22.9,-0.278470969,-2.14628832,1.589346381,-3.765656554,-5.784478971,-1.746834137,-8.221282851,-12.62206579,-3.820499913,-10.71854261,-16.8364371,-4.600648123
22.85,0.572176163,-1.174167225,2.318519552,-3.31853332,-5.229945417,-1.407121224,-3.371224598,-7.276423325,0.533974129,-1.863655388,-6.840292376,3.112981599
22.8,-1.781971511,-3.556112983,-0.007830039,-4.127819278,-6.245661115,-2.00997744,-4.528042389,-8.716813371,-0.339271407,-3.052132939,-7.918199677,1.813933799
22.75,-2.129001007,-3.945061423,-0.312940591,-3.872392637,-5.933066213,-1.811719061,-8.815653254,-12.97753257,-4.653773942,-9.666152827,-15.54930548,-3.783000177
22.7,-3.398974016,-5.700203989,-1.097744043,-4.765212151,-7.247328375,-2.283095928,-9.429141753,-14.22224554,-4.636037968,-7.604689218,-13.17724932,-2.032129117
22.65,-2.496509398,-4.159349143,-0.833669653,-4.664294454,-6.696428066,-2.632160843,-9.511439018,-13.24964436,-5.773233681,-10.81985537,-15.45017367,-6.18953708
22.6,-2.606489135,-4.300950088,-0.912028183,-6.269396832,-8.63387004,-3.904923624,-12.49358373,-16.32823692,-8.658930531,-12.78461753,-17.4649121,-8.10432296
22.55,-2.36626451,-4.199195963,-0.533333056,-5.465980705,-7.633936315,-3.298025095,-9.530767183,-13.36291835,-5.698616015,-9.069806862,-13.68555673,-4.454056989
22.5,-2.570609693,-4.313455384,-0.827764002,-6.078419442,-8.016688975,-4.140149909,-9.003853179,-13.18995336,-4.817753002,-6.713322039,-11.1642752,-2.262368879
22.45,-2.835251733,-4.586770895,-1.083732572,-5.747879714,-7.895271558,-3.600487869,-8.465345598,-12.45010374,-4.48058746,-7.912463435,-12.15410936,-3.670817512
22.4,-2.178222166,-4.169682215,-0.186762116,-4.764635587,-6.73683295,-2.792438224,-6.94056615,-10.61245566,-3.268676643,-3.170381569,-6.78244231,0.441679171
22.35,-1.995338254,-3.697340041,-0.293336467,-5.139936941,-7.269469784,-3.010404098,-5.772295172,-8.964268882,-2.580321463,-6.106319858,-10.26849769,-1.944142029
22.3,-3.192320741,-5.089342428,-1.295299055,-8.13735604,-10.93829231,-5.336419771,-10.91160864,-15.4500151,-6.373202175,-10.01911071,-15.41697577,-4.62124566
22.25,-4.688530846,-6.8962904,-2.480771292,-7.899462368,-10.21286115,-5.586063584,-11.04292348,-14.99797651,-7.087870454,-9.723942307,-14.19923154,-5.248653076
22.2,-4.625546068,-6.921731841,-2.329360294,-9.73940737,-12.93018691,-6.548627825,-10.8926414,-15.37351269,-6.411770109,-7.333636593,-11.97610498,-2.691168211
22.15,-1.14836127,-2.108250094,-0.188472446,-4.586006528,-6.778203293,-2.393809764,-4.758225385,-8.11651305,-1.399937719,-5.796910732,-9.874637701,-1.719183763
22.1,-2.655319997,-4.042540879,-1.268099116,-7.061233798,-9.371177647,-4.751289948,-6.114360455,-9.460057764,-2.768663147,-6.243908318,-10.23675431,-2.251062331
22.05,-1.782678206,-3.679744351,0.11438794,-6.677068952,-8.704416039,-4.649721865,-6.997751469,-10.92057629,-3.074926643,-7.468900954,-11.99960449,-2.93819742
22,-3.938916082,-5.643627496,-2.234204668,-6.189041531,-8.153544387,-4.224538675,-9.038955671,-12.21420408,-5.863707263,-7.889072429,-11.85045439,-3.927690468
