,-1 year,,,+1 year,,,+3 years,,,+5 years,,
Latitude,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper,Mean,CI_lower,CI_upper
23.25,-1.124644202,-4.382592672,2.133304269,-5.588619629,-12.32402388,1.146784627,-2.744298035,-10.68412721,5.195531143,-5.860305249,-14.6849517,2.964341206
23.2,3.231820195,-0.21344715,6.67708754,-1.104202706,-6.085014247,3.876608835,-5.303577143,-13.03204067,2.424886386,2.613576391,-6.551169028,11.77832181
23.15,0.141722619,-4.099395051,4.38284029,-3.550684817,-9.259020816,2.157651182,-1.503604974,-8.138595187,5.13138524,-4.282554654,-11.86494057,3.299831259
23.1,4.669739342,0.359726542,8.979752141,-3.203805025,-8.994686584,2.587076533,-1.614567344,-9.421639368,6.19250468,-8.908991187,-18.39080555,0.572823178
23.05,2.637446968,-1.321430833,6.596324769,-2.363119488,-7.973268526,3.24702955,-3.29799892,-10.8668034,4.270805563,-5.54681319,-15.0598514,3.966225017
23,-0.375847624,-3.850862747,3.099167499,2.378118674,-4.587649441,9.343886789,7.243643946,-1.554832089,16.04211998,2.361729375,-6.752574102,11.47603285
22.95,-0.388486704,-3.663476673,2.886503265,1.338475752,-3.964628556,6.641580059,-5.195647261,-13.27583042,2.884535902,-7.240403039,-16.43771939,1.956913309
22.9,-0.59749889,-4.715247518,3.520249738,-10.21862249,-16.9594068,-3.47783818,-4.546349254,-13.57247948,4.479780975,-14.71333995,-23.7058432,-5.720836689
22.85,0.000821223,-3.72959316,3.731235606,2.039147342,-3.443984753,7.522279438,-5.127313533,-13.85253924,3.597912176,-9.183638449,-19.09806541,0.730788507
22.8,-0.979142171,-5.625828724,3.667544383,-2.151171092,-7.73593894,3.433596757,2.201941666,-5.369959731,9.773843063,3.242939893,-6.055018063,12.54089785
22.75,0.121611851,-2.765258867,3.00848257,-0.015506255,-5.562435546,5.531423035,0.283253842,-7.338618592,7.905126276,1.571387964,-7.571609529,10.71438546
22.7,0.620775614,-3.509214995,4.750766223,-4.192502844,-8.535707649,0.150701961,-6.363258011,-13.94013164,1.213615617,-1.110268482,-10.36946874,8.148931773
22.65,0.41058922,-3.986987642,4.808166081,-1.83203575,-7.508358667,3.844287168,-7.02512232,-15.295135,1.244890359,-0.308634057,-8.3699432,7.752675085
